constituencyId,constituencyName,prefix,firstName,lastName,partyName,partyAbbreviation,isHonourable,isDoctor,isCounsel,profileUrl,imagePath,imageDescription
18,Delta North,Mr.,Ravi,Kahlon,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Kahlon-Ravi,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Kahlon-Ravi.jpg,MLA Ravi Kahlon
19,Delta South,Mr.,Ian,Paton,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Paton-Ian,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Paton-Ian.jpg,MLA Ian Paton
21,Fraser-Nicola,Mr.,Tony,Luck,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Luck-Tony,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Luck-Tony.jpeg,MLA Tony Luck
22,Kamloops-North Thompson,Mr.,Ward,Stamer,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Stamer-Ward,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Ward Stamer.PNG,MLA Ward Stamer
26,Kelowna-Mission,Mr.,Gavin,Dew,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Dew-Gavin,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dew-Gavin.jpg,MLA Gavin Dew
33,Maple Ridge-Pitt Meadows,Ms.,Lisa,Beare,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Beare-Lisa,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Beare-Lisa.jpg,MLA Lisa Beare
34,Mid Island-Pacific Rim,Ms.,Josie,Osborne,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Osborne-Josie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Osborne-Josie.jpg,MLA Josie Osborne
37,Nechako Lakes,Mr.,John,Rustad,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Rustad-John,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Rustad-John.jpg,MLA John Rustad
41,North Island,Ms.,Anna,Kindy,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Kindy-Anna,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Anna Kindy Conservative Party _KRL_20241210__AVE7843 copy.jpg,MLA Anna Kindy
42,North Vancouver-Lonsdale,Ms.,Bowinn,Ma,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Ma-Bowinn,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Ma-Bowinn.jpg,MLA Bowinn Ma
43,North Vancouver-Seymour,Ms.,Susie,Chant,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Chant-Susie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chant-Susie.jpg,MLA Susie Chant
44,Oak Bay-Gordon Head,Ms.,Diana,Gibson,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Gibson-Diana,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Gibson-Diana.jpg,MLA Diana Gibson
46,Peace River North,Mr.,Jordan,Kealy,Independent,Independent,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Kealy-Jordan,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Kealy-Jordan.jpg,MLA Jordan Kealy
